"ID","Age","Gender","Education","Race","Income","Health","Q185","Q183","X0_5_95","X0_50_50","X0_10_90","X0_15_85","X0_20_80","X0_25_75","X0_30_70","X0_35_65","X0_40_60","X0_45_55","CT1","CT2","X0.5_5_95","X0.5_50_50","X0.5_10_90","X0.5_15_85","X0.5_20_80","X0.5_25_75","X0.5_30_70","X0.5_35_65","X0.5_40_60","X0.5_45_55","CT1.1","CT2.1","n0.5_5_95","n0.5_50_50","n0.5_10_90","n0.5_15_85","n0.5_20_80","n0.5_25_75","n0.5_30_70","n0.5_35_65","n0.5_40_60","n0.5_45_55","CT1.2","CT2.2","X5_5_95","X5_50_50","X5_10_90","X5_15_85","X5_20_80","X5_25_75","X5_30_70","X5_35_65","X5_40_60","X5_45_55","CT1.3","CT2.3","n5_5_95","n5_50_50","n5_10_90","n5_15_85","n5_20_80","n5_25_75","n5_30_70","n5_35_65","n5_40_60","n5_45_55","CT1.4","CT2.4","Q241","Q243","Q245","Q247","Q249","Q251","Q173","Q174","Q175","Q176","Q177","Q177_5_TEXT","Q178","Q179","Q179_6_TEXT","Q11","Q13","Q15","Q17","Q19","Q21","Q23","Q25","Q27","Q199_1","Q199_2","Q199_3","Q199_4","Q199_5","Q199_6","Q201_1","Q201_2","Q201_3","Q201_4","Q201_5","Q201_6","Q203_1","Q203_2","Q203_3","Q203_4","Q203_5","Q203_6","Q204_1","Q204_2","Q204_3","Q204_4","Q204_5","Q204_6","Q211","Q213","Q215","Q217","Q219","Q221","Q223","Q225_1","Q225_2","Q227","Q229","Q231","Q233","Q235","Q237","Q224","Q226","Q228","Q230","Q232","Q234","Q236","Q238","Q240","Q242","Q245.1","SC0","opp","rid","RISN","Q_TotalDuration","collection","gid","sname","TolunEnc","gc","term","LABottomIndex","GSTopIndex","LALow","Enter.Embedded.Data.Field.Name.Here...","LAHigh","LAScore","InconsistentRange","LS"
1,58,"2","5","1","9","4","2","1","","","","","","","","","","","","","1","1","2","1","1","2","2","1","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","1","4","4","4","2","","","","","","","","","4","1","7","2","","","","","","4","1","3","2","4","1","3","1","2","4","2","2","2","1","1","1","1","4","1","4","1","4","3","1","500","10","0.1","3","2","2","1 in 50","10","100","80","5","1","50","16","3","3","3","3","3","3","3","1","3","3","1","7/13/60","4","Qual2331-0515Randomizer","5ce456f7-03ec-ec0a-0e53-02ca8ce8eedc","4859381","413","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
2,52,"1","4","1","5","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","4","4","4","3","4","3","1","?","?","2","2","","","","","4","4","6","2","","","","","","3","3","2","3","3","3","2","3","3","4","2","4","2","4","4","3","2","4","2","4","3","4","2","3","500","10","0.1","3","2","2%","2 in 100 years","10","100","80%","5","1","9%","64","3","3","3","4","3","2","3","3","3","2","3","7/24/66","4","Qual2331-0515Randomizer","5ce4570d-bb76-74bf-6434-0d5de2b5d0fc","4859381","469","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
3,68,"2","4","1","10","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","2","2","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","4","2","4","4","3","3","1","1","100","4","2","","2","2","","4","2","6","2","","","","","","4","1","3","2","3","1","2","1","1","3","2","1","2","1","1","1","1","3","1","3","2","3","3","2","500","1","10","3","2","2","2","10","100","2","1","1","1","64","1","4","3","4","2","2","2","3","2","3","2","9/12/50","5","Qual2331-0515Randomizer","5ce456d0-821b-d269-6782-47f8880d3120","4859381","545","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
4,42,"2","3","1","8","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","1","1","4","2","2","2","2","","","","","","","","","1","2","7","2","","","","","","4","1","4","2","4","2","2","3","1","4","1","2","2","2","2","2","2","3","1","2","2","2","1","3","500","100","1","3","2","2","1 in 200","1","10","10%","10","1","10%","64","3","1","1","1","1","3","1","2","1","1","1","11/7/76","3","Qual2331-0515Randomizer","5ce456c5-7bc2-e734-7f81-6603fbe769e2","4859381","557","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
5,33,"2","4","1","11","3","1","2","","","","","","","","","","","","","2","1","2","1","1","1","1","1","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","4","5","3","3","2","","","","","","","","","2","4","3","2","","","","","","3","4","2","5","3","4","2","4","2","2","3","5","2","4","3","4","4","3","2","3","5","3","3","4","500","10","0.1","3","2","2%","1 in 50","10","100","1 in 5","10","1","9 out of 100","64","1","4","5","5","3","4","2","5","5","5","4","9/3/85","2","Qual2331-0515Randomizer","5ce456f2-ac56-6853-0a3b-554299d18d98","4859381","584","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
6,30,"2","3","1","16","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","1","1","1","1","1","1","1","2","","","","","","","","","","","","","4","2","4","4","5","4","2","","","","","","","","","6","1","7","2","","","","","","2","1","2","2","4","1","1","1","2","4","2","4","2","3","2","2","2","4","1","4","2","3","2","2","500","10","0.1","3","2","2%","2%","10","100","80%","5","1","90%","128","3","5","5","5","4","5","5","6","6","4","5","7/23/88","2","Qual2331-0515Randomizer","5ce456fb-48d7-ecb7-e68c-19f1256efd7b","4859381","617","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
7,75,"1","3","1","6","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","4","4","4","5","4","4","2","","","","","","","","","5","1","7","2","","","","","","4","1","4","2","4","2","4","2","3","5","3","4","4","2","2","2","2","4","1","4","1","5","5","1","500","50","1","3","2","2","200","10","100","80","50","1","10%","64","2","2","2","2","2","2","2","2","4","5","4","4/5/44","6","Qual2331-0515Randomizer","5ce456bc-2075-f6a5-17a9-7e05faa5b9c0","4859381","690","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
8,62,"2","3","1","4","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","4","4","5","4","4","4","2","","","","","","","","","1","1","6","2","","","","","","4","3","3","4","3","3","2","3","3","2","3","4","2","3","3","3","2","3","2","3","3","3","2","3","500","800","20","3","2","2%","1 in 50 in ten years","10%","1%","20%","5","1","Less than 10%","40","1","3","2","3","1","3","1","3","3","3","3","11/14/56","5","Qual2331-0515Randomizer","5ce456d4-b4fe-286d-b951-2a45e3eb9d64","4859381","701","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
9,63,"1","4","1","12","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","3","5","5","5","4","4","1","1","400","2","4","","1","","","5","3","6","2","","","","","","4","1","4","2","3","2","2","3","3","4","2","3","2","2","2","3","2","4","2","4","2","4","3","1","500","10","0.1","3","2","2% in ten years","1 in 50 in ten years","10","100","80","5","1","50%","64","3","5","4","5","4","4","4","4","4","4","4","11/27/55","5","Qual2331-0515Randomizer","5ce45759-ba43-557f-2f64-88d0f38a9bfa","4859381","613","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
10,43,"2","4","1","8","4","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","5","2","5","2","1","2","25000","4","4","","2","1","","3","5","5","2","","","","","","3","2","2","2","3","2","2","2","2","4","2","3","2","2","2","2","2","4","2","4","2","4","2","2","502","10","0.1","3","2","2","2","10","100","80","5","1","10","64","1","4","4","4","4","5","4","4","5","3","3","5/22/75","3","Qual2331-0515Randomizer","5ce4571c-9bfa-2e0b-ea59-859d4c81ba1e","4859381","682","new","","","","1","","0","1","0.5","","0.5","0.5","1",""
